sourceId,name,group,decision,use,selected,catalogueDocuments,importType,sampleEndpoint,sampled,probeStatuses,observedFamilies,observedRegionalRecords,licence,licenceClass,terms,notes,catalogueUrl,originUrl
"Bxx2ekr8iguaDTzHR","HVV-Aufzüge","equipment / status","hold / unavailable","Context for explicitly linked station or venue; later phase","false","0","equipmentInfos","","0","equipment-infos:200; place-infos:200; disruptions:404","[]","{}","Copyright © 2018 HVV GmbH","restricted","permission / terms review","[""No rows from place/equipment probes; not proof of no upstream data""]","https://www.accessibility.cloud/sources/Bxx2ekr8iguaDTzHR","https://www.hvv.de"
"GaRjxFAmzo59826M2","AWO Düsseldorf","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","29","placeInfos","place-infos","3","place-infos:200","[""dog policy"",""Wi-Fi"",""entrances"",""toilet detail"",""access summary"",""hearing/media support""]","{}","Open Data Licence Version 2.0","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/GaRjxFAmzo59826M2","https://www.awo-duesseldorf.de/"
"57HZPLZfYaDwNxLFY","Bochum Places","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","13","placeInfos","place-infos","3","place-infos:200","[""dog policy"",""Wi-Fi"",""entrances"",""toilet detail"",""access summary"",""hearing/media support""]","{}","Test","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/57HZPLZfYaDwNxLFY","https://bochum.wheelmap.pro"
"Yra2ze6vW9ttX7Tiz","Pfotenpiloten","dog policy","consider for current regions","Pet policy; assistance-dog policy separately","false","5","placeInfos","place-infos","3","place-infos:200","[""dog policy""]","{""berlin-mitte"":2}","Open Data Commons Open Database License","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/Yra2ze6vW9ttX7Tiz",""
"htHDFsGFJirDM2ypw","barrierefrei.konstanz.de","venue survey / place guide","consider for current regions","Existing places plus explicit practical facts; no broad suitability inference","false","19","placeInfos","place-infos","3","place-infos:200","[""entrances"",""toilet detail"",""access summary""]","{""berlin-mitte"":2}","ODbL v1.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/htHDFsGFJirDM2ypw",""
"o4LX2WGnJDpPdhgto","Konstanz Elevators","equipment / status","later / arrival context","Context for explicitly linked station or venue; later phase","false","1","equipmentInfos","equipment-infos","1","equipment-infos:200","[""equipment status""]","{}","ODbL","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/o4LX2WGnJDpPdhgto",""
"nwccXsd9WMekvFs3r","FaSta","equipment / status","hold / unavailable","Context for explicitly linked station or venue; later phase","false","0","equipmentInfos","","0","equipment-infos:200; place-infos:200; disruptions:404","[]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[""OSM identifier mapping: ref:operator_inventory"",""No rows from place/equipment probes; not proof of no upstream data""]","https://www.accessibility.cloud/sources/nwccXsd9WMekvFs3r","https://developer.deutschebahn.com/store/apis/info?name=FaSta-Station_Facilities_Status&version=v1&provider=DBOpenData"
"ghEw4XyFpQNLMC45w","Places from ‘Places and Facilities Survey’","venue survey / place guide","consider for current regions","Existing places plus explicit practical facts; no broad suitability inference","true","1","placeInfos","place-infos","1","equipment-infos:200; place-infos:200","[""entrances"",""toilet detail"",""access summary""]","{""berlin-mitte"":1}","ODbL","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/ghEw4XyFpQNLMC45w",""
"nD9gxnEBgnvaDMXRX","Facilities from ‘Places and Facilities Survey’","equipment / status","later / arrival context","Context for explicitly linked station or venue; later phase","false","1","equipmentInfos","equipment-infos","2","equipment-infos:200","[""hearing/media support""]","{}","ODbL","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/nD9gxnEBgnvaDMXRX",""
"Q9jzJMxydegZYfFbK","StaDa","transit stops","consider for current regions","Arrival context; no route accessibility inference","true","5408","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{""berlin-mitte"":8}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/Q9jzJMxydegZYfFbK","https://developer.deutschebahn.com/store/apis/info?name=StaDa-Station_Data&version=v2&provider=DBOpenData"
